2026-09-25T22:42:29.594Z +0.000s INFO  [app] session=292bafc9 start kabl-ui 0.1.0 (commit 99c28d30a08d) level=DEBUG log=target/signal-inspection-r1/user/logs/kabl.log
2026-09-25T22:42:29.598Z +0.004s INFO  [library] session=292bafc9 factory sounds: /home/user/kabl/patches; your sounds: target/signal-inspection-r1/user/sounds
2026-09-25T22:42:29.601Z +0.007s INFO  [midi] session=292bafc9 listening for MIDI on "kabl-pipe" (test pipe)
2026-09-25T22:42:29.601Z +0.007s INFO  [audio] session=292bafc9 backend=Alsa requested rate=Some(48000) frames=Some(256) rt=true
2026-09-25T22:42:42.902Z +13.308s DEBUG [graph] session=292bafc9 compiled generation=59 fresh=false modules=6 took_us=53
2026-09-25T22:42:42.919Z +13.325s DEBUG [graph] session=292bafc9 compiled generation=60 fresh=false modules=6 took_us=48
2026-09-25T22:42:42.939Z +13.345s DEBUG [graph] session=292bafc9 compiled generation=61 fresh=false modules=6 took_us=46
2026-09-25T22:42:42.958Z +13.364s DEBUG [graph] session=292bafc9 compiled generation=62 fresh=false modules=6 took_us=54
2026-09-25T22:42:42.975Z +13.381s DEBUG [graph] session=292bafc9 compiled generation=63 fresh=false modules=6 took_us=43
2026-09-25T22:42:42.994Z +13.399s DEBUG [graph] session=292bafc9 compiled generation=64 fresh=false modules=6 took_us=47
2026-09-25T22:42:43.011Z +13.416s DEBUG [graph] session=292bafc9 compiled generation=65 fresh=false modules=6 took_us=43
2026-09-25T22:42:43.030Z +13.435s DEBUG [graph] session=292bafc9 compiled generation=66 fresh=false modules=6 took_us=69
2026-09-25T22:42:43.054Z +13.460s DEBUG [graph] session=292bafc9 compiled generation=67 fresh=false modules=6 took_us=48
2026-09-25T22:42:43.076Z +13.482s DEBUG [graph] session=292bafc9 compiled generation=68 fresh=false modules=6 took_us=55
2026-09-25T22:42:43.098Z +13.503s DEBUG [graph] session=292bafc9 compiled generation=69 fresh=false modules=6 took_us=56
2026-09-25T22:42:43.117Z +13.523s DEBUG [graph] session=292bafc9 compiled generation=70 fresh=false modules=6 took_us=50
2026-09-25T22:42:43.135Z +13.541s DEBUG [graph] session=292bafc9 compiled generation=71 fresh=false modules=6 took_us=43
2026-09-25T22:42:43.154Z +13.559s DEBUG [graph] session=292bafc9 compiled generation=72 fresh=false modules=6 took_us=44
2026-09-25T22:42:43.175Z +13.581s DEBUG [graph] session=292bafc9 compiled generation=73 fresh=false modules=6 took_us=50
2026-09-25T22:42:43.197Z +13.603s DEBUG [graph] session=292bafc9 compiled generation=74 fresh=false modules=6 took_us=49
2026-09-25T22:42:43.218Z +13.624s DEBUG [graph] session=292bafc9 compiled generation=75 fresh=false modules=6 took_us=44
2026-09-25T22:42:43.238Z +13.643s DEBUG [graph] session=292bafc9 compiled generation=76 fresh=false modules=6 took_us=50
2026-09-25T22:42:43.262Z +13.668s DEBUG [graph] session=292bafc9 compiled generation=77 fresh=false modules=6 took_us=47
2026-09-25T22:42:43.283Z +13.689s DEBUG [graph] session=292bafc9 compiled generation=78 fresh=false modules=6 took_us=57
2026-09-25T22:42:43.302Z +13.708s DEBUG [graph] session=292bafc9 compiled generation=79 fresh=false modules=6 took_us=57
2026-09-25T22:42:43.318Z +13.724s DEBUG [graph] session=292bafc9 compiled generation=80 fresh=false modules=6 took_us=41
2026-09-25T22:42:43.333Z +13.739s DEBUG [graph] session=292bafc9 compiled generation=81 fresh=false modules=6 took_us=45
2026-09-25T22:42:43.352Z +13.758s DEBUG [graph] session=292bafc9 compiled generation=82 fresh=false modules=6 took_us=53
2026-09-25T22:42:43.374Z +13.780s DEBUG [graph] session=292bafc9 compiled generation=83 fresh=false modules=6 took_us=53
2026-09-25T22:42:43.391Z +13.797s DEBUG [graph] session=292bafc9 compiled generation=84 fresh=false modules=6 took_us=51
2026-09-25T22:42:43.415Z +13.821s DEBUG [graph] session=292bafc9 compiled generation=85 fresh=false modules=6 took_us=44
2026-09-25T22:42:43.432Z +13.838s DEBUG [graph] session=292bafc9 compiled generation=86 fresh=false modules=6 took_us=48
